,ICAO Empresa Aérea,Número Voo,Situação Voo,Atraso,Hora Partida,Dia Mês,Mês,Dia Semana,Tipo da nuvem da primeira camada,DireÇõÇo do Vento (0-360),Veloc. do Vento (m/s),Alt. da base das nuvens na primeira camada (m),Cobertura de nuvens da camada mais restrita(%),PressÇo reduzida ao nÇðvel do mar - QNH( hPa),Temp. do ar (C),Temp. do Ponto de Orvalho (C),Visibilidade horizontal (m) (acima de 10000m VV=10000),"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
0,AZU,2400,REALIZADO,21,6.25,1,Janeiro,Segunda,0.0,330.0,2.57,173.0,6.0,1013.89,21.0,20.0,10000.0,0.0
1,GLO,1076,REALIZADO,0,8.083333333333334,1,Janeiro,Segunda,0.0,310.0,2.06,156.0,2.0,1013.89,20.0,20.0,10000.0,0.0
2,TAM,4605,REALIZADO,0,8.666666666666666,1,Janeiro,Segunda,0.0,310.0,2.06,156.0,2.0,1013.89,20.0,20.0,10000.0,0.0
3,GLO,1078,REALIZADO,0,10.25,1,Janeiro,Segunda,0.0,310.0,4.63,172.0,3.0,1013.89,22.0,20.0,10000.0,0.0
4,AZU,2402,REALIZADO,-3,13.75,1,Janeiro,Segunda,0.0,330.0,5.15,173.0,6.0,1014.91,24.0,20.0,10000.0,0.0
5,GLO,1082,REALIZADO,0,14.583333333333334,1,Janeiro,Segunda,0.0,300.0,4.12,213.0,6.0,1014.91,25.0,20.0,10000.0,0.0
6,GLO,1084,REALIZADO,21,17.416666666666668,1,Janeiro,Segunda,0.0,320.0,5.66,302.0,3.0,1012.88,27.0,21.0,10000.0,0.0
7,GLO,1086,REALIZADO,0,18.416666666666668,1,Janeiro,Segunda,0.0,320.0,5.15,302.0,3.0,1012.88,28.0,21.0,10000.0,0.0
8,GLO,1088,REALIZADO,0,19.416666666666668,1,Janeiro,Segunda,0.0,300.0,6.18,352.0,3.0,1010.85,28.0,20.0,10000.0,0.0
9,AZU,5016,REALIZADO,0,20.083333333333332,1,Janeiro,Segunda,0.0,310.0,4.12,382.0,3.0,1010.85,28.0,21.0,10000.0,0.0
10,GLO,1090,REALIZADO,27,21.083333333333332,1,Janeiro,Segunda,0.0,320.0,3.09,362.0,3.0,1010.85,28.0,21.0,10000.0,0.0
11,AZU,2400,REALIZADO,-4,6.25,2,Janeiro,Terca,0.0,300.0,1.03,0.0,0.0,1010.85,22.0,20.0,10000.0,0.0
12,GLO,1076,REALIZADO,0,8.083333333333334,2,Janeiro,Terca,0.0,340.0,2.06,236.0,2.0,1010.85,22.0,20.0,10000.0,0.0
13,TAM,4605,REALIZADO,24,8.666666666666666,2,Janeiro,Terca,0.0,340.0,2.06,236.0,2.0,1010.85,22.0,20.0,10000.0,0.0
14,GLO,1078,REALIZADO,13,10.25,2,Janeiro,Terca,0.0,330.0,3.6,256.0,2.0,1010.85,24.0,21.0,10000.0,0.0
15,AZU,2402,REALIZADO,0,13.75,2,Janeiro,Terca,0.0,320.0,7.21,303.0,6.0,1010.85,26.0,21.0,10000.0,0.0
16,GLO,1084,REALIZADO,0,17.416666666666668,2,Janeiro,Terca,2.0,270.0,4.12,302.0,6.0,1009.15,24.0,22.0,10000.0,0.0
17,GLO,1086,REALIZADO,24,18.416666666666668,2,Janeiro,Terca,0.0,320.0,5.66,302.0,6.0,1008.14,27.0,22.0,10000.0,0.0
18,GLO,1088,REALIZADO,0,19.416666666666668,2,Janeiro,Terca,0.0,310.0,4.63,0.0,0.0,1008.14,28.0,21.0,10000.0,0.0
19,AZU,5016,REALIZADO,-11,20.083333333333332,2,Janeiro,Terca,0.0,310.0,5.15,302.0,6.0,1008.14,27.0,21.0,10000.0,0.0
20,GLO,1090,REALIZADO,34,21.083333333333332,2,Janeiro,Terca,0.0,310.0,4.12,302.0,3.0,1008.14,27.0,21.0,10000.0,0.0
21,AZU,2400,REALIZADO,-3,6.25,3,Janeiro,Quarta,0.0,330.0,5.66,172.0,3.0,1007.12,22.0,20.0,10000.0,0.0
22,GLO,1076,REALIZADO,34,8.083333333333334,3,Janeiro,Quarta,0.0,300.0,5.66,173.0,6.0,1008.14,22.0,20.0,10000.0,61.0
23,TAM,4605,REALIZADO,0,8.666666666666666,3,Janeiro,Quarta,0.0,300.0,5.66,173.0,6.0,1008.14,22.0,20.0,10000.0,61.0
24,GLO,1078,REALIZADO,0,10.25,3,Janeiro,Quarta,0.0,320.0,5.15,203.0,6.0,1010.17,22.0,20.0,10000.0,0.0
25,AZU,2402,REALIZADO,0,13.75,3,Janeiro,Quarta,0.0,310.0,4.12,136.0,6.0,1010.85,23.0,20.0,8000.0,0.0
26,GLO,1084,REALIZADO,0,17.416666666666668,3,Janeiro,Quarta,0.0,290.0,3.6,263.0,6.0,1010.17,26.0,20.0,10000.0,0.0
27,GLO,1086,REALIZADO,19,18.416666666666668,3,Janeiro,Quarta,0.0,260.0,2.57,262.0,6.0,1009.15,26.0,21.0,10000.0,0.0
28,GLO,1088,REALIZADO,0,19.416666666666668,3,Janeiro,Quarta,0.0,230.0,4.12,203.0,6.0,1010.17,22.0,22.0,5010.0,61.0
29,AZU,5016,REALIZADO,30,20.083333333333332,3,Janeiro,Quarta,0.0,260.0,1.54,106.0,6.0,0.0,21.0,21.0,2990.0,61.0
30,GLO,1090,REALIZADO,38,21.083333333333332,3,Janeiro,Quarta,0.0,150.0,2.57,113.0,6.0,1010.85,21.0,21.0,5010.0,61.0
31,AZU,2400,REALIZADO,29,6.25,4,Janeiro,Quinta,0.0,150.0,1.03,202.0,6.0,1013.89,18.0,18.0,10000.0,0.0
32,GLO,1076,REALIZADO,75,8.083333333333334,4,Janeiro,Quinta,0.0,110.0,1.03,0.0,0.0,1014.91,18.0,18.0,10000.0,0.0
33,TAM,4605,REALIZADO,0,8.666666666666666,4,Janeiro,Quinta,0.0,110.0,1.03,0.0,0.0,1014.91,18.0,18.0,10000.0,0.0
34,GLO,1078,REALIZADO,0,10.25,4,Janeiro,Quinta,0.0,60.0,2.57,0.0,0.0,1015.93,20.0,18.0,10000.0,0.0
35,AZU,2402,REALIZADO,0,13.75,4,Janeiro,Quinta,0.0,90.0,4.12,0.0,0.0,1016.94,24.0,14.0,10000.0,0.0
36,GLO,1082,REALIZADO,0,14.583333333333334,4,Janeiro,Quinta,0.0,100.0,4.12,0.0,0.0,1016.94,26.0,14.0,10000.0,0.0
37,GLO,1084,REALIZADO,0,17.416666666666668,4,Janeiro,Quinta,0.0,100.0,5.15,0.0,0.0,1014.91,28.0,15.0,10000.0,0.0
38,GLO,1086,REALIZADO,0,18.416666666666668,4,Janeiro,Quinta,0.0,130.0,4.12,0.0,0.0,1014.91,28.0,15.0,10000.0,0.0
39,GLO,1088,REALIZADO,0,19.416666666666668,4,Janeiro,Quinta,0.0,150.0,5.15,0.0,0.0,1014.91,27.0,16.0,10000.0,0.0
40,AZU,5016,REALIZADO,-13,20.083333333333332,4,Janeiro,Quinta,0.0,130.0,5.15,0.0,0.0,1014.91,26.0,15.0,10000.0,0.0
41,GLO,1090,REALIZADO,0,21.083333333333332,4,Janeiro,Quinta,0.0,130.0,4.63,0.0,0.0,1014.91,24.0,16.0,10000.0,0.0
42,AZU,2400,REALIZADO,-11,6.25,5,Janeiro,Sexta,0.0,80.0,2.06,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
43,GLO,1076,REALIZADO,0,8.083333333333334,5,Janeiro,Sexta,0.0,70.0,3.09,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
44,TAM,4605,REALIZADO,0,8.666666666666666,5,Janeiro,Sexta,0.0,70.0,3.09,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
45,GLO,1078,REALIZADO,0,10.25,5,Janeiro,Sexta,0.0,70.0,4.12,116.0,2.0,1016.94,19.0,18.0,10000.0,0.0
46,AZU,2402,REALIZADO,0,13.75,5,Janeiro,Sexta,0.0,70.0,3.09,176.0,2.0,1016.94,23.0,19.0,10000.0,0.0
47,GLO,1082,REALIZADO,0,14.583333333333334,5,Janeiro,Sexta,0.0,30.0,2.57,176.0,2.0,1016.94,25.0,19.0,10000.0,0.0
48,GLO,1084,REALIZADO,0,17.416666666666668,5,Janeiro,Sexta,0.0,130.0,2.06,403.0,6.0,1014.91,28.0,20.0,10000.0,0.0
49,GLO,1086,REALIZADO,0,18.416666666666668,5,Janeiro,Sexta,0.0,310.0,1.03,403.0,6.0,1013.89,29.0,20.0,10000.0,0.0
50,GLO,1088,REALIZADO,0,19.416666666666668,5,Janeiro,Sexta,0.0,160.0,4.63,302.0,3.0,1013.89,27.0,21.0,10000.0,0.0
51,AZU,5016,REALIZADO,-11,20.083333333333332,5,Janeiro,Sexta,0.0,170.0,3.6,256.0,2.0,1014.91,25.0,20.0,10000.0,0.0
52,GLO,1090,REALIZADO,0,21.083333333333332,5,Janeiro,Sexta,0.0,170.0,4.12,0.0,0.0,1014.91,24.0,20.0,10000.0,0.0
53,GLO,1076,REALIZADO,0,8.083333333333334,6,Janeiro,Sabado,0.0,70.0,3.09,0.0,0.0,1014.91,20.0,20.0,10000.0,0.0
54,TAM,4605,REALIZADO,0,8.666666666666666,6,Janeiro,Sabado,0.0,70.0,3.09,0.0,0.0,1014.91,20.0,20.0,10000.0,0.0
55,AZU,4024,REALIZADO,-5,13.333333333333334,6,Janeiro,Sabado,0.0,340.0,4.63,233.0,6.0,1016.94,24.0,20.0,10000.0,0.0
56,AZU,4131,REALIZADO,-11,16.583333333333332,6,Janeiro,Sabado,2.0,300.0,3.09,302.0,3.0,1015.93,26.0,20.0,10000.0,0.0
57,GLO,1084,REALIZADO,0,17.416666666666668,6,Janeiro,Sabado,0.0,300.0,4.12,302.0,3.0,1014.91,27.0,20.0,10000.0,0.0
58,GLO,1088,REALIZADO,0,19.416666666666668,6,Janeiro,Sabado,2.0,240.0,2.06,403.0,6.0,1012.88,27.0,20.0,10000.0,0.0
59,GLO,1090,REALIZADO,10,21.083333333333332,6,Janeiro,Sabado,0.0,60.0,5.15,402.0,8.0,1013.89,21.0,19.0,10000.0,0.0
60,TAM,4605,REALIZADO,0,8.666666666666666,7,Janeiro,Domingo,0.0,80.0,3.6,0.0,0.0,1015.93,18.0,18.0,10000.0,0.0
61,GLO,1078,REALIZADO,0,10.25,7,Janeiro,Domingo,0.0,70.0,2.57,453.0,6.0,1016.94,17.0,17.0,10000.0,61.0
62,GLO,1082,REALIZADO,0,14.583333333333334,7,Janeiro,Domingo,0.0,250.0,1.03,53.0,8.0,1017.96,18.0,18.0,2000.0,61.0
63,GLO,1084,REALIZADO,9,17.416666666666668,7,Janeiro,Domingo,0.0,160.0,2.06,103.0,8.0,0.0,17.0,16.0,4010.0,61.0
64,GLO,1086,REALIZADO,0,18.416666666666668,7,Janeiro,Domingo,0.0,170.0,2.06,462.0,3.0,1016.94,17.0,17.0,9000.0,61.0
65,GLO,1088,REALIZADO,0,19.416666666666668,7,Janeiro,Domingo,0.0,180.0,1.54,132.0,6.0,1016.94,18.0,17.0,10000.0,0.0
66,GLO,1090,REALIZADO,0,21.083333333333332,7,Janeiro,Domingo,0.0,130.0,2.57,196.0,6.0,1017.96,19.0,17.0,10000.0,0.0
67,AZU,2400,REALIZADO,-17,6.25,8,Janeiro,Segunda,0.0,40.0,1.03,106.0,8.0,1017.96,18.0,18.0,10000.0,0.0
68,GLO,1076,REALIZADO,60,8.083333333333334,8,Janeiro,Segunda,0.0,0.0,0.0,103.0,8.0,1017.96,18.0,18.0,10000.0,0.0
69,TAM,4605,REALIZADO,14,8.666666666666666,8,Janeiro,Segunda,0.0,0.0,0.0,103.0,8.0,1017.96,18.0,18.0,10000.0,0.0
70,GLO,1078,REALIZADO,0,10.25,8,Janeiro,Segunda,0.0,130.0,2.57,62.0,8.0,1019.99,18.0,18.0,5010.0,61.0
71,AZU,2402,REALIZADO,16,13.75,8,Janeiro,Segunda,0.0,0.0,0.0,63.0,6.0,1021.0,19.0,19.0,2990.0,61.0
72,GLO,1082,REALIZADO,0,14.583333333333334,8,Janeiro,Segunda,0.0,60.0,0.51,73.0,6.0,1021.0,20.0,20.0,5010.0,61.0
73,GLO,1084,REALIZADO,0,17.416666666666668,8,Janeiro,Segunda,0.0,60.0,1.03,93.0,8.0,1019.99,21.0,20.0,6000.0,61.0
74,GLO,1086,REALIZADO,13,18.416666666666668,8,Janeiro,Segunda,0.0,0.0,0.0,93.0,8.0,1018.97,21.0,20.0,8000.0,61.0
75,GLO,1088,REALIZADO,0,19.416666666666668,8,Janeiro,Segunda,0.0,140.0,0.51,133.0,8.0,1018.97,22.0,20.0,8000.0,61.0
76,AZU,5016,REALIZADO,54,20.083333333333332,8,Janeiro,Segunda,0.0,0.0,0.0,103.0,8.0,1018.97,21.0,21.0,4510.0,61.0
77,GLO,1090,REALIZADO,0,21.083333333333332,8,Janeiro,Segunda,0.0,0.0,0.0,133.0,8.0,1018.97,20.0,20.0,8000.0,61.0
78,AZU,2400,REALIZADO,-13,6.25,9,Janeiro,Terca,0.0,80.0,1.54,156.0,3.0,1018.97,18.0,18.0,9000.0,0.0
79,GLO,1076,REALIZADO,0,8.083333333333334,9,Janeiro,Terca,0.0,80.0,1.03,173.0,8.0,1019.99,18.0,18.0,5010.0,61.0
80,TAM,4605,REALIZADO,0,8.666666666666666,9,Janeiro,Terca,0.0,80.0,1.03,173.0,8.0,1019.99,18.0,18.0,5010.0,61.0
81,GLO,1078,REALIZADO,0,10.25,9,Janeiro,Terca,0.0,50.0,1.54,103.0,6.0,1021.0,19.0,19.0,4010.0,61.0
82,AZU,2402,REALIZADO,0,13.75,9,Janeiro,Terca,0.0,50.0,4.12,113.0,6.0,1023.04,20.0,20.0,9000.0,0.0
83,GLO,1084,REALIZADO,0,17.416666666666668,9,Janeiro,Terca,0.0,0.0,0.0,202.0,6.0,1022.02,24.0,20.0,10000.0,0.0
84,GLO,1086,REALIZADO,0,18.416666666666668,9,Janeiro,Terca,0.0,70.0,2.57,263.0,6.0,1022.02,25.0,20.0,10000.0,0.0
85,GLO,1088,REALIZADO,0,19.416666666666668,9,Janeiro,Terca,2.0,100.0,2.57,232.0,6.0,1021.0,24.0,20.0,10000.0,0.0
86,AZU,5016,REALIZADO,-2,20.083333333333332,9,Janeiro,Terca,0.0,110.0,3.6,352.0,6.0,1021.0,24.0,20.0,10000.0,0.0
87,GLO,1090,REALIZADO,44,21.083333333333332,9,Janeiro,Terca,0.0,130.0,3.09,172.0,6.0,1021.0,22.0,20.0,10000.0,0.0
88,AZU,2400,REALIZADO,-12,6.25,10,Janeiro,Quarta,0.0,90.0,1.03,0.0,0.0,1021.0,19.0,19.0,10000.0,0.0
89,GLO,1076,REALIZADO,0,8.083333333333334,10,Janeiro,Quarta,0.0,70.0,1.03,0.0,0.0,1022.02,19.0,19.0,10000.0,0.0
90,TAM,4605,REALIZADO,0,8.666666666666666,10,Janeiro,Quarta,0.0,70.0,1.03,0.0,0.0,1022.02,19.0,19.0,10000.0,0.0
91,GLO,1078,REALIZADO,0,10.25,10,Janeiro,Quarta,0.0,80.0,2.57,0.0,0.0,1022.02,20.0,19.0,10000.0,0.0
92,AZU,2402,REALIZADO,16,13.75,10,Janeiro,Quarta,0.0,80.0,5.66,156.0,2.0,1023.04,24.0,20.0,10000.0,0.0
93,GLO,1084,REALIZADO,6,17.416666666666668,10,Janeiro,Quarta,0.0,50.0,4.63,0.0,0.0,1021.0,26.0,21.0,10000.0,0.0
94,GLO,1086,REALIZADO,0,18.416666666666668,10,Janeiro,Quarta,0.0,50.0,4.12,0.0,0.0,1019.99,28.0,18.0,10000.0,0.0
95,AZU,2400,REALIZADO,-9,6.25,11,Janeiro,Quinta,0.0,0.0,0.0,156.0,2.0,1018.97,18.0,18.0,7000.0,0.0
96,GLO,1076,REALIZADO,0,8.083333333333334,11,Janeiro,Quinta,0.0,60.0,1.54,83.0,6.0,1019.99,20.0,20.0,8000.0,0.0
97,TAM,4605,REALIZADO,0,8.666666666666666,11,Janeiro,Quinta,0.0,60.0,1.54,83.0,6.0,1019.99,20.0,20.0,8000.0,0.0
98,GLO,1078,REALIZADO,25,10.25,11,Janeiro,Quinta,0.0,60.0,4.12,73.0,6.0,1019.99,20.0,20.0,7000.0,0.0
99,AZU,2402,REALIZADO,0,13.75,11,Janeiro,Quinta,0.0,70.0,2.06,0.0,0.0,1019.99,26.0,22.0,10000.0,0.0
100,GLO,1082,REALIZADO,0,14.583333333333334,11,Janeiro,Quinta,0.0,340.0,2.57,402.0,3.0,1019.99,28.0,19.0,10000.0,0.0
101,GLO,1084,REALIZADO,0,17.416666666666668,11,Janeiro,Quinta,0.0,310.0,3.6,403.0,6.0,1016.94,30.0,19.0,10000.0,0.0
102,GLO,1086,REALIZADO,18,18.416666666666668,11,Janeiro,Quinta,0.0,300.0,3.09,0.0,0.0,1015.93,31.0,19.0,10000.0,0.0
103,GLO,1088,REALIZADO,0,19.416666666666668,11,Janeiro,Quinta,9.0,190.0,7.21,112.0,8.0,1016.94,24.0,20.0,2990.0,95.0
104,AZU,5016,REALIZADO,0,20.083333333333332,11,Janeiro,Quinta,0.0,230.0,2.06,92.0,8.0,1016.94,21.0,20.0,10000.0,0.0
105,GLO,1090,REALIZADO,21,21.083333333333332,11,Janeiro,Quinta,0.0,0.0,0.0,102.0,6.0,1017.96,21.0,20.0,10000.0,0.0
106,AZU,2400,REALIZADO,-21,6.25,12,Janeiro,Sexta,0.0,0.0,0.0,0.0,0.0,1015.93,19.0,18.0,10000.0,0.0
107,GLO,1076,REALIZADO,16,8.083333333333334,12,Janeiro,Sexta,0.0,30.0,3.09,0.0,0.0,1015.93,20.0,17.0,10000.0,0.0
108,TAM,4605,REALIZADO,0,8.666666666666666,12,Janeiro,Sexta,0.0,30.0,3.09,0.0,0.0,1015.93,20.0,17.0,10000.0,0.0
109,GLO,1078,REALIZADO,0,10.25,12,Janeiro,Sexta,0.0,340.0,1.54,0.0,0.0,1016.94,21.0,17.0,10000.0,0.0
110,AZU,2402,REALIZADO,0,13.75,12,Janeiro,Sexta,0.0,280.0,5.15,263.0,6.0,1017.96,22.0,19.0,10000.0,0.0
111,GLO,1082,REALIZADO,0,14.583333333333334,12,Janeiro,Sexta,0.0,300.0,6.18,233.0,6.0,1017.96,22.0,18.0,10000.0,0.0
112,GLO,1084,REALIZADO,0,17.416666666666668,12,Janeiro,Sexta,0.0,300.0,3.09,233.0,8.0,1015.93,24.0,19.0,10000.0,0.0
113,GLO,1086,REALIZADO,22,18.416666666666668,12,Janeiro,Sexta,0.0,330.0,3.6,262.0,8.0,1014.91,24.0,19.0,10000.0,0.0
114,GLO,1088,REALIZADO,0,19.416666666666668,12,Janeiro,Sexta,0.0,320.0,2.57,262.0,8.0,1013.89,24.0,19.0,10000.0,0.0
115,AZU,5016,REALIZADO,-6,20.083333333333332,12,Janeiro,Sexta,0.0,360.0,3.09,263.0,6.0,1013.89,25.0,19.0,10000.0,0.0
116,GLO,1090,REALIZADO,23,21.083333333333332,12,Janeiro,Sexta,0.0,340.0,3.09,262.0,3.0,1013.89,24.0,19.0,10000.0,0.0
117,GLO,1076,REALIZADO,0,8.083333333333334,13,Janeiro,Sabado,0.0,350.0,3.6,0.0,0.0,1013.89,20.0,17.0,10000.0,0.0
118,TAM,4605,REALIZADO,0,8.666666666666666,13,Janeiro,Sabado,0.0,350.0,3.6,0.0,0.0,1013.89,20.0,17.0,10000.0,0.0
119,AZU,4024,REALIZADO,0,13.333333333333334,13,Janeiro,Sabado,0.0,330.0,4.12,0.0,0.0,1015.93,22.0,19.0,10000.0,0.0
120,GLO,1084,REALIZADO,0,17.416666666666668,13,Janeiro,Sabado,0.0,280.0,3.09,336.0,6.0,1013.89,26.0,19.0,10000.0,0.0
121,GLO,1088,REALIZADO,0,19.416666666666668,13,Janeiro,Sabado,0.0,310.0,4.63,402.0,6.0,1013.89,26.0,17.0,10000.0,0.0
122,GLO,1090,REALIZADO,0,21.083333333333332,13,Janeiro,Sabado,0.0,350.0,2.57,406.0,6.0,1012.88,26.0,18.0,10000.0,0.0
123,TAM,4605,REALIZADO,0,8.666666666666666,14,Janeiro,Domingo,0.0,70.0,3.09,0.0,0.0,1014.91,19.0,19.0,10000.0,0.0
124,GLO,1078,REALIZADO,0,10.25,14,Janeiro,Domingo,0.0,70.0,2.57,0.0,0.0,1015.93,20.0,20.0,10000.0,0.0
125,AZU,5335,REALIZADO,0,13.166666666666666,14,Janeiro,Domingo,0.0,350.0,3.6,0.0,0.0,1016.94,27.0,19.0,10000.0,0.0
126,GLO,1082,REALIZADO,0,14.583333333333334,14,Janeiro,Domingo,0.0,340.0,4.63,0.0,0.0,1016.94,28.0,19.0,10000.0,0.0
127,GLO,1084,REALIZADO,0,17.416666666666668,14,Janeiro,Domingo,0.0,320.0,4.12,453.0,6.0,1013.89,30.0,19.0,10000.0,0.0
128,GLO,1086,REALIZADO,18,18.416666666666668,14,Janeiro,Domingo,0.0,320.0,4.12,453.0,6.0,1012.88,30.0,19.0,10000.0,0.0
129,GLO,1088,REALIZADO,0,19.416666666666668,14,Janeiro,Domingo,9.0,290.0,13.38,506.0,6.0,1013.89,24.0,20.0,6000.0,95.0
130,AZU,2668,REALIZADO,0,21.0,14,Janeiro,Domingo,9.0,340.0,3.09,406.0,2.0,1013.89,22.0,18.0,10000.0,17.0
131,GLO,1090,REALIZADO,0,21.083333333333332,14,Janeiro,Domingo,9.0,340.0,3.09,406.0,2.0,1013.89,22.0,18.0,10000.0,17.0
132,AZU,2400,REALIZADO,0,6.25,15,Janeiro,Segunda,0.0,30.0,2.57,0.0,0.0,1015.93,21.0,19.0,10000.0,0.0
133,GLO,1076,REALIZADO,0,8.083333333333334,15,Janeiro,Segunda,0.0,330.0,4.12,0.0,0.0,1015.93,22.0,18.0,10000.0,0.0
134,TAM,4605,REALIZADO,0,8.666666666666666,15,Janeiro,Segunda,0.0,330.0,4.12,0.0,0.0,1015.93,22.0,18.0,10000.0,0.0
135,GLO,1078,REALIZADO,0,10.25,15,Janeiro,Segunda,0.0,310.0,4.63,402.0,3.0,1016.94,22.0,19.0,10000.0,0.0
136,AZU,2402,REALIZADO,0,13.75,15,Janeiro,Segunda,0.0,330.0,3.6,232.0,3.0,1017.96,24.0,20.0,10000.0,0.0
137,GLO,1082,REALIZADO,0,14.583333333333334,15,Janeiro,Segunda,0.0,330.0,5.15,302.0,3.0,1017.96,26.0,20.0,10000.0,0.0
138,GLO,1084,REALIZADO,0,17.416666666666668,15,Janeiro,Segunda,0.0,320.0,5.66,403.0,6.0,1015.93,29.0,20.0,10000.0,0.0
139,GLO,1086,REALIZADO,23,18.416666666666668,15,Janeiro,Segunda,0.0,290.0,5.66,0.0,0.0,1015.93,29.0,20.0,10000.0,0.0
140,GLO,1088,REALIZADO,0,19.416666666666668,15,Janeiro,Segunda,0.0,290.0,6.69,0.0,0.0,1014.91,30.0,19.0,10000.0,0.0
141,AZU,5016,REALIZADO,5,20.083333333333332,15,Janeiro,Segunda,0.0,290.0,5.15,0.0,0.0,1014.91,29.0,18.0,10000.0,0.0
142,GLO,1090,REALIZADO,0,21.083333333333332,15,Janeiro,Segunda,0.0,280.0,5.15,0.0,0.0,1014.91,28.0,18.0,10000.0,0.0
143,AZU,2400,REALIZADO,-2,6.25,16,Janeiro,Terca,0.0,50.0,1.54,0.0,0.0,1016.94,21.0,19.0,10000.0,0.0
144,GLO,1076,REALIZADO,0,8.083333333333334,16,Janeiro,Terca,0.0,270.0,3.6,0.0,0.0,1017.96,22.0,18.0,10000.0,0.0
145,GLO,1078,REALIZADO,0,10.25,16,Janeiro,Terca,0.0,30.0,2.06,0.0,0.0,1018.97,21.0,19.0,10000.0,0.0
146,AZU,2402,REALIZADO,0,13.75,16,Janeiro,Terca,0.0,290.0,2.57,0.0,0.0,1018.97,25.0,20.0,10000.0,0.0
147,GLO,1084,REALIZADO,26,17.416666666666668,16,Janeiro,Terca,0.0,290.0,6.18,406.0,2.0,1018.97,29.0,20.0,10000.0,0.0
148,GLO,1086,REALIZADO,0,18.416666666666668,16,Janeiro,Terca,0.0,290.0,3.6,406.0,2.0,1017.96,29.0,20.0,10000.0,0.0
149,GLO,1088,REALIZADO,22,19.416666666666668,16,Janeiro,Terca,0.0,290.0,3.6,453.0,6.0,1016.94,29.0,18.0,10000.0,0.0
150,AZU,5016,REALIZADO,-14,20.083333333333332,16,Janeiro,Terca,0.0,310.0,3.6,452.0,6.0,1016.94,28.0,18.0,10000.0,0.0
151,GLO,1090,REALIZADO,0,21.083333333333332,16,Janeiro,Terca,0.0,0.0,0.0,402.0,6.0,1016.94,27.0,19.0,10000.0,0.0
152,AZU,2400,REALIZADO,-12,6.25,17,Janeiro,Quarta,0.0,0.0,0.0,0.0,0.0,1016.94,20.0,20.0,10000.0,0.0
153,GLO,1076,REALIZADO,0,8.083333333333334,17,Janeiro,Quarta,0.0,0.0,0.0,0.0,0.0,1017.96,20.0,20.0,10000.0,0.0
154,TAM,4605,REALIZADO,0,8.666666666666666,17,Janeiro,Quarta,0.0,0.0,0.0,0.0,0.0,1017.96,20.0,20.0,10000.0,0.0
155,GLO,1078,REALIZADO,0,10.25,17,Janeiro,Quarta,0.0,80.0,2.57,0.0,0.0,1018.97,22.0,21.0,10000.0,0.0
156,AZU,2402,REALIZADO,-1,13.75,17,Janeiro,Quarta,0.0,50.0,2.57,0.0,0.0,1018.97,28.0,21.0,10000.0,0.0
157,GLO,1084,REALIZADO,17,17.416666666666668,17,Janeiro,Quarta,2.0,310.0,3.6,403.0,6.0,1016.94,31.0,20.0,10000.0,0.0
158,GLO,1086,REALIZADO,0,18.416666666666668,17,Janeiro,Quarta,2.0,150.0,4.12,403.0,6.0,1016.94,28.0,22.0,10000.0,0.0
159,GLO,1088,REALIZADO,0,19.416666666666668,17,Janeiro,Quarta,9.0,50.0,4.63,252.0,8.0,0.0,25.0,24.0,5010.0,95.0
160,AZU,5016,REALIZADO,-10,20.083333333333332,17,Janeiro,Quarta,2.0,140.0,1.03,302.0,6.0,1015.93,24.0,23.0,10000.0,0.0
161,GLO,1090,REALIZADO,0,21.083333333333332,17,Janeiro,Quarta,0.0,50.0,1.54,402.0,6.0,1015.93,23.0,21.0,9000.0,0.0
162,AZU,2400,REALIZADO,-14,6.25,18,Janeiro,Quinta,0.0,0.0,0.0,0.0,0.0,1016.94,22.0,22.0,7000.0,0.0
163,GLO,1076,REALIZADO,0,8.083333333333334,18,Janeiro,Quinta,0.0,0.0,0.0,0.0,0.0,1016.94,21.0,21.0,8000.0,0.0
164,TAM,4605,REALIZADO,0,8.666666666666666,18,Janeiro,Quinta,0.0,0.0,0.0,0.0,0.0,1016.94,21.0,21.0,8000.0,0.0
165,GLO,1078,REALIZADO,0,10.25,18,Janeiro,Quinta,0.0,40.0,1.03,0.0,0.0,1017.96,23.0,22.0,9000.0,0.0
166,AZU,2402,REALIZADO,0,13.75,18,Janeiro,Quinta,0.0,330.0,5.15,402.0,3.0,1017.96,29.0,21.0,10000.0,0.0
167,GLO,1082,REALIZADO,0,14.583333333333334,18,Janeiro,Quinta,0.0,320.0,4.63,402.0,3.0,1017.96,30.0,22.0,10000.0,0.0
168,GLO,1084,REALIZADO,23,17.416666666666668,18,Janeiro,Quinta,0.0,320.0,6.69,452.0,3.0,1015.93,32.0,20.0,10000.0,0.0
169,GLO,1086,REALIZADO,0,18.416666666666668,18,Janeiro,Quinta,0.0,300.0,7.21,452.0,3.0,1014.91,32.0,21.0,10000.0,0.0
170,GLO,1088,REALIZADO,0,19.416666666666668,18,Janeiro,Quinta,0.0,290.0,6.69,0.0,0.0,1014.91,31.0,20.0,10000.0,0.0
