Data/Hora;Tipo da nuvem da primeira camada;Dire«ı«úo do Vento (0-360);Veloc. do Vento (m/s);Alt. da base das nuvens na primeira camada (m);Cobertura de nuvens da camada mais restrita(%);Cobertura de nuvens da primeira camada (oitavos);Press«úo reduzida ao n«vel do mar - QNH( hPa);Temp. do ar (C);Temp. do Ponto de Orvalho (C);Visibilidade horizontal (m) (acima de 10000m VV=10000);"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
01/05/2018 00:00;0.0;80.0;1.03;0.0;0.0;0.0;1021.0;20.0;16.0;10000.0;0.0
01/05/2018 01:00;0.0;0.0;0.0;0.0;0.0;0.0;1021.0;18.0;16.0;10000.0;0.0
01/05/2018 02:00;0.0;0.0;0.0;0.0;0.0;0.0;1021.0;17.0;16.0;10000.0;0.0
01/05/2018 03:00;0.0;0.0;0.0;0.0;0.0;0.0;1021.0;17.0;16.0;10000.0;0.0
01/05/2018 04:00;0.0;0.0;0.0;0.0;0.0;0.0;1021.0;16.0;16.0;10000.0;0.0
01/05/2018 05:00;0.0;110.0;1.03;0.0;0.0;0.0;1019.99;16.0;16.0;10000.0;0.0
01/05/2018 06:00;0.0;80.0;1.03;0.0;0.0;0.0;1019.99;16.0;15.0;9000.0;0.0
01/05/2018 07:00;0.0;0.0;0.0;0.0;0.0;0.0;1018.97;16.0;15.0;9000.0;0.0
01/05/2018 08:00;0.0;0.0;0.0;0.0;0.0;0.0;1018.97;15.0;15.0;10000.0;0.0
01/05/2018 09:00;0.0;0.0;0.0;0.0;0.0;0.0;1019.99;15.0;15.0;8000.0;0.0
01/05/2018 10:00;0.0;0.0;0.0;0.0;0.0;0.0;1021.0;15.0;15.0;8000.0;0.0
01/05/2018 11:00;0.0;80.0;1.03;0.0;0.0;0.0;1022.02;19.0;17.0;9000.0;0.0
01/05/2018 12:00;0.0;310.0;1.54;0.0;0.0;0.0;1023.04;21.0;17.0;5010.0;5.0
01/05/2018 13:00;0.0;130.0;1.03;206.0;3.0;984.252;1023.04;23.0;18.0;7000.0;0.0
01/05/2018 14:00;0.0;230.0;1.54;302.0;3.0;984.252;1023.04;24.0;18.0;10000.0;0.0
01/05/2018 15:00;0.0;250.0;2.06;302.0;3.0;984.252;1022.02;25.0;19.0;10000.0;0.0
01/05/2018 16:00;0.0;310.0;2.06;402.0;3.0;984.252;1021.0;28.0;18.0;10000.0;0.0
01/05/2018 17:00;0.0;220.0;2.06;402.0;3.0;984.252;1019.99;26.0;17.0;10000.0;0.0
01/05/2018 18:00;0.0;180.0;2.06;452.0;3.0;984.252;1019.99;27.0;18.0;10000.0;0.0
01/05/2018 19:00;0.0;160.0;3.6;306.0;3.0;984.252;1019.99;24.0;20.0;7000.0;0.0
01/05/2018 20:00;0.0;150.0;3.09;406.0;6.0;1.968.504;1019.99;23.0;19.0;8000.0;0.0
01/05/2018 21:00;0.0;160.0;3.09;203.0;6.0;1.968.504;1021.0;21.0;18.0;4510.0;10.0
01/05/2018 22:00;0.0;180.0;1.54;203.0;6.0;1.968.504;1022.02;20.0;18.0;6000.0;0.0
01/05/2018 23:00;0.0;150.0;2.06;153.0;6.0;1.968.504;1023.04;21.0;18.0;6000.0;0.0
02/05/2018 00:00;0.0;140.0;0.51;206.0;2.0;656.168;1023.04;19.0;18.0;8000.0;0.0
02/05/2018 01:00;0.0;140.0;1.03;202.0;3.0;984.252;1023.04;20.0;18.0;8000.0;0.0
02/05/2018 02:00;0.0;70.0;2.57;206.0;2.0;656.168;1023.04;18.0;17.0;8000.0;0.0
02/05/2018 03:00;0.0;100.0;1.03;206.0;2.0;656.168;1023.04;19.0;18.0;6000.0;0.0
02/05/2018 04:00;0.0;0.0;0.0;153.0;6.0;1.968.504;1023.04;18.0;18.0;9000.0;0.0
02/05/2018 05:00;0.0;80.0;1.54;156.0;2.0;656.168;1023.04;18.0;18.0;10000.0;0.0
02/05/2018 06:00;0.0;0.0;0.0;0.0;0.0;0.0;1022.02;17.0;17.0;10000.0;0.0
02/05/2018 07:00;0.0;0.0;0.0;0.0;0.0;0.0;1022.02;16.0;16.0;7000.0;0.0
02/05/2018 08:00;0.0;90.0;0.51;0.0;0.0;0.0;1022.02;16.0;16.0;9000.0;0.0
02/05/2018 09:00;0.0;60.0;1.03;0.0;0.0;0.0;1022.02;17.0;17.0;9000.0;0.0
02/05/2018 10:00;0.0;80.0;1.54;0.0;0.0;0.0;1023.04;17.0;17.0;6000.0;0.0
02/05/2018 11:00;0.0;140.0;0.51;83.0;6.0;1.968.504;1024.05;18.0;18.0;8000.0;0.0
02/05/2018 12:00;0.0;60.0;3.6;42.0;3.0;984.252;1024.05;19.0;19.0;7000.0;0.0
02/05/2018 13:00;0.0;80.0;4.12;0.0;0.0;0.0;1024.05;21.0;18.0;10000.0;0.0
02/05/2018 14:00;0.0;70.0;4.63;0.0;0.0;0.0;1024.05;23.0;19.0;10000.0;0.0
02/05/2018 15:00;0.0;70.0;3.6;306.0;2.0;656.168;1023.04;24.0;18.0;10000.0;0.0
02/05/2018 16:00;0.0;100.0;2.57;306.0;2.0;656.168;1022.02;25.0;17.0;10000.0;0.0
02/05/2018 17:00;0.0;90.0;2.57;306.0;2.0;656.168;1021.0;26.0;17.0;10000.0;0.0
02/05/2018 18:00;0.0;80.0;3.09;406.0;2.0;656.168;1019.99;26.0;17.0;10000.0;0.0
02/05/2018 19:00;0.0;110.0;4.12;302.0;3.0;984.252;1019.99;25.0;19.0;10000.0;0.0
02/05/2018 20:00;0.0;120.0;3.6;0.0;0.0;0.0;1021.0;23.0;18.0;10000.0;0.0
02/05/2018 21:00;0.0;120.0;2.57;0.0;0.0;0.0;1021.0;22.0;18.0;9000.0;0.0
02/05/2018 22:00;0.0;110.0;2.57;113.0;6.0;1.968.504;1022.02;20.0;18.0;10000.0;0.0
