Data/Hora;Tipo da nuvem da primeira camada;Dire«ı«úo do Vento (0-360);Veloc. do Vento (m/s);Alt. da base das nuvens na primeira camada (m);Cobertura de nuvens da camada mais restrita(%);Cobertura de nuvens da primeira camada (oitavos);Press«úo reduzida ao n«vel do mar - QNH( hPa);Temp. do ar (C);Temp. do Ponto de Orvalho (C);Visibilidade horizontal (m) (acima de 10000m VV=10000);"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
01/03/2018 00:00;0.0;110.0;2.57;252.0;3.0;984.252;1017.96;22.0;20.0;10000.0;0.0
01/03/2018 01:00;0.0;90.0;2.06;0.0;0.0;0.0;1017.96;22.0;20.0;10000.0;0.0
01/03/2018 02:00;0.0;50.0;2.57;203.0;6.0;1.968.504;1017.96;22.0;20.0;10000.0;0.0
01/03/2018 03:00;0.0;60.0;3.6;0.0;0.0;0.0;1017.96;22.0;20.0;10000.0;0.0
01/03/2018 04:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;21.0;20.0;9000.0;0.0
01/03/2018 05:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;21.0;20.0;9000.0;0.0
01/03/2018 06:00;0.0;0.0;0.0;0.0;0.0;0.0;1015.93;20.0;20.0;8000.0;0.0
01/03/2018 07:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;19.0;19.0;8000.0;0.0
01/03/2018 08:00;0.0;0.0;0.0;0.0;0.0;0.0;1015.93;20.0;20.0;7000.0;0.0
01/03/2018 09:00;0.0;80.0;1.54;0.0;0.0;0.0;1016.94;20.0;20.0;7000.0;0.0
01/03/2018 10:00;0.0;70.0;2.57;0.0;0.0;0.0;1016.94;21.0;20.0;8000.0;0.0
01/03/2018 11:00;0.0;80.0;3.09;36.0;2.0;656.168;1017.96;22.0;21.0;8000.0;0.0
01/03/2018 12:00;0.0;70.0;1.54;0.0;0.0;0.0;1018.97;24.0;21.0;9000.0;0.0
01/03/2018 13:00;0.0;200.0;1.54;192.0;3.0;984.252;1018.97;25.0;21.0;10000.0;0.0
01/03/2018 14:00;0.0;60.0;2.06;252.0;3.0;984.252;1017.96;27.0;22.0;10000.0;0.0
01/03/2018 15:00;0.0;0.0;0.0;333.0;6.0;1.968.504;1017.96;28.0;21.0;10000.0;0.0
01/03/2018 16:00;0.0;220.0;1.54;403.0;6.0;1.968.504;1016.94;29.0;20.0;10000.0;0.0
01/03/2018 17:00;0.0;260.0;1.03;463.0;6.0;1.968.504;1015.93;30.0;20.0;10000.0;0.0
01/03/2018 18:00;9.0;220.0;3.6;303.0;6.0;1.968.504;1014.91;27.0;21.0;10000.0;95.0
01/03/2018 19:00;9.0;70.0;2.57;456.0;6.0;1.968.504;0.0;25.0;20.0;10000.0;0.0
01/03/2018 20:00;0.0;130.0;2.06;132.0;3.0;984.252;1015.93;26.0;23.0;9000.0;0.0
01/03/2018 21:00;0.0;130.0;2.06;172.0;3.0;984.252;1016.94;25.0;22.0;9000.0;0.0
01/03/2018 22:00;0.0;90.0;2.06;173.0;6.0;1.968.504;1016.94;24.0;22.0;10000.0;0.0
01/03/2018 23:00;0.0;120.0;2.06;153.0;6.0;1.968.504;1017.96;24.0;21.0;10000.0;0.0
02/03/2018 01:00;0.0;120.0;1.54;172.0;3.0;984.252;1018.97;23.0;21.0;10000.0;0.0
02/03/2018 02:00;0.0;60.0;1.03;172.0;3.0;984.252;1018.97;22.0;21.0;10000.0;0.0
02/03/2018 03:00;0.0;50.0;2.57;0.0;0.0;0.0;1017.96;23.0;22.0;10000.0;0.0
02/03/2018 04:00;0.0;90.0;1.03;0.0;0.0;0.0;1017.96;22.0;22.0;9000.0;0.0
02/03/2018 05:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;22.0;21.0;9000.0;0.0
02/03/2018 06:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;21.0;21.0;9000.0;0.0
02/03/2018 07:00;0.0;0.0;0.0;0.0;0.0;0.0;1016.94;20.0;20.0;6000.0;0.0
02/03/2018 08:00;0.0;110.0;1.03;63.0;6.0;1.968.504;1017.96;21.0;21.0;5010.0;10.0
02/03/2018 09:00;0.0;70.0;2.06;44.0;8.0;2.624.672;1017.96;21.0;21.0;2490.0;10.0
02/03/2018 10:00;0.0;50.0;2.06;53.0;6.0;1.968.504;1017.96;21.0;21.0;4010.0;10.0
02/03/2018 11:00;0.0;40.0;1.54;63.0;6.0;1.968.504;1018.97;22.0;22.0;4510.0;10.0
02/03/2018 12:00;0.0;50.0;2.06;0.0;0.0;0.0;1019.99;24.0;22.0;10000.0;0.0
02/03/2018 13:00;0.0;100.0;1.54;0.0;0.0;0.0;1018.97;27.0;22.0;10000.0;0.0
02/03/2018 14:00;0.0;40.0;1.54;352.0;3.0;984.252;1017.96;29.0;21.0;10000.0;0.0
02/03/2018 15:00;0.0;190.0;2.06;403.0;6.0;1.968.504;1016.94;30.0;21.0;10000.0;0.0
02/03/2018 16:00;0.0;330.0;2.57;493.0;6.0;1.968.504;1015.93;30.0;21.0;10000.0;0.0
02/03/2018 17:00;0.0;290.0;2.57;453.0;6.0;1.968.504;1014.91;31.0;19.0;10000.0;0.0
02/03/2018 18:00;2.0;310.0;4.63;453.0;6.0;1.968.504;1013.89;31.0;20.0;10000.0;0.0
02/03/2018 19:00;2.0;170.0;2.57;453.0;6.0;1.968.504;1014.91;24.0;21.0;8000.0;61.0
02/03/2018 20:00;0.0;50.0;2.06;92.0;8.0;2.624.672;1015.93;23.0;23.0;7000.0;0.0
02/03/2018 21:00;0.0;340.0;1.03;92.0;3.0;984.252;1015.93;23.0;23.0;7000.0;0.0
