Data/Hora;Tipo da nuvem da primeira camada;Dire«ı«úo do Vento (0-360);Veloc. do Vento (m/s);Alt. da base das nuvens na primeira camada (m);Cobertura de nuvens da camada mais restrita(%);Cobertura de nuvens da primeira camada (oitavos);Press«úo reduzida ao n«vel do mar - QNH( hPa);Temp. do ar (C);Temp. do Ponto de Orvalho (C);Visibilidade horizontal (m) (acima de 10000m VV=10000);"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
01/01/2018 00:00;0.0;320.0;3.6;206.0;2.0;656.168;1012.88;22.0;20.0;10000.0;0.0
01/01/2018 01:00;0.0;290.0;2.57;203.0;6.0;1.968.504;1014.91;22.0;20.0;10000.0;0.0
01/01/2018 02:00;0.0;320.0;3.6;172.0;3.0;984.252;1014.91;21.0;20.0;10000.0;0.0
01/01/2018 03:00;0.0;350.0;2.57;203.0;6.0;1.968.504;1014.91;22.0;20.0;10000.0;0.0
01/01/2018 04:00;0.0;350.0;3.09;202.0;6.0;1.968.504;1013.89;21.0;20.0;10000.0;0.0
01/01/2018 05:00;0.0;320.0;2.06;202.0;6.0;1.968.504;1013.89;21.0;20.0;10000.0;0.0
01/01/2018 06:00;0.0;330.0;2.57;173.0;6.0;1.968.504;1013.89;21.0;20.0;10000.0;0.0
01/01/2018 07:00;0.0;330.0;4.12;202.0;3.0;984.252;1012.88;21.0;20.0;10000.0;0.0
01/01/2018 08:00;0.0;310.0;2.06;156.0;2.0;656.168;1013.89;20.0;20.0;10000.0;0.0
01/01/2018 09:00;0.0;310.0;1.54;152.0;3.0;984.252;1013.89;21.0;20.0;10000.0;0.0
01/01/2018 10:00;0.0;310.0;4.63;172.0;3.0;984.252;1013.89;22.0;20.0;10000.0;0.0
01/01/2018 11:00;0.0;310.0;4.63;173.0;6.0;1.968.504;1014.91;23.0;20.0;10000.0;0.0
01/01/2018 12:00;0.0;300.0;4.12;173.0;6.0;1.968.504;1014.91;23.0;20.0;10000.0;0.0
01/01/2018 13:00;0.0;330.0;5.15;173.0;6.0;1.968.504;1014.91;24.0;20.0;10000.0;0.0
01/01/2018 14:00;0.0;300.0;4.12;213.0;6.0;1.968.504;1014.91;25.0;20.0;10000.0;0.0
01/01/2018 15:00;0.0;310.0;5.66;243.0;6.0;1.968.504;1014.91;26.0;20.0;10000.0;0.0
01/01/2018 16:00;0.0;300.0;6.69;273.0;6.0;1.968.504;1013.89;27.0;21.0;10000.0;0.0
01/01/2018 17:00;0.0;320.0;5.66;302.0;3.0;984.252;1012.88;27.0;21.0;10000.0;0.0
01/01/2018 18:00;0.0;320.0;5.15;302.0;3.0;984.252;1012.88;28.0;21.0;10000.0;0.0
01/01/2018 19:00;0.0;300.0;6.18;352.0;3.0;984.252;1010.85;28.0;20.0;10000.0;0.0
01/01/2018 20:00;0.0;310.0;4.12;382.0;3.0;984.252;1010.85;28.0;21.0;10000.0;0.0
01/01/2018 21:00;0.0;320.0;3.09;362.0;3.0;984.252;1010.85;28.0;21.0;10000.0;0.0
01/01/2018 22:00;0.0;310.0;2.57;356.0;2.0;656.168;1010.85;26.0;21.0;10000.0;0.0
01/01/2018 23:00;0.0;290.0;2.06;0.0;0.0;0.0;1011.86;25.0;21.0;10000.0;0.0
02/01/2018 00:00;0.0;310.0;2.06;0.0;0.0;0.0;1011.86;25.0;21.0;10000.0;0.0
02/01/2018 01:00;0.0;300.0;2.06;0.0;0.0;0.0;1012.88;24.0;21.0;10000.0;0.0
02/01/2018 02:00;0.0;0.0;0.0;0.0;0.0;0.0;1012.88;22.0;21.0;10000.0;0.0
02/01/2018 03:00;0.0;320.0;1.54;0.0;0.0;0.0;1012.88;23.0;21.0;10000.0;0.0
02/01/2018 04:00;0.0;0.0;0.0;0.0;0.0;0.0;1011.86;22.0;21.0;10000.0;0.0
02/01/2018 05:00;0.0;320.0;2.06;0.0;0.0;0.0;1010.85;23.0;21.0;10000.0;0.0
02/01/2018 06:00;0.0;300.0;1.03;0.0;0.0;0.0;1010.85;22.0;20.0;10000.0;0.0
02/01/2018 07:00;0.0;280.0;0.51;0.0;0.0;0.0;1010.85;21.0;20.0;10000.0;0.0
